Country,Spam,Ransomware,Local Infection,Exploit,Malicious Mail,Network Attack,On Demand Scan,Web Threat,Total Threat Score
Gabonese Republic,0.00016037837837837838,8.181229773462783e-05,0.02188005249343832,0.0004534540389972145,0.0005694933333333333,0.004285911458333334,0.015530105263157895,0.01535978835978836,0.05832099562316146
Georgia,0.00016284237726098193,6.20746887966805e-05,0.011036753246753248,0.00012941828254847644,0.0010072093023255815,0.0005083505154639175,0.007953697916666667,0.01518782722513089,0.03604817355494644
Gibraltar,0.0005905633802816901,0.0005216666666666667,0.0029923529411764707,0.0008372413793103448,0.0019759375,0.0008790816326530613,0.002131282051282051,0.005766068376068375,0.01569419392743866
Grand Duchy of Luxembourg,0.0005656589147286821,4.7095435684647304e-05,0.005062519480519481,0.0006398622589531681,0.0007097922077922078,0.0004533505154639175,0.003047942708333333,0.010875837696335077,0.021402059217810514
Greenland,9.208333333333334e-05,,,,,,,,9.208333333333334e-05
Grenada,2.1363636363636365e-05,,,,,,,,2.1363636363636365e-05
Guadeloupe,0.006010294117647059,9.741935483870968e-05,0.008056961038961039,0.0004954317548746518,0.00027501805054151626,0.0006557922077922078,0.006183072916666667,0.010519685863874344,0.032293675305196196
Guam,3.3e-05,0.000825,0.007500363636363636,0.0008706896551724137,0.0020896646341463415,0.00167088,0.007124296875000001,0.01218235602094241,0.0322962508216248
Guiana,3.672566371681416e-05,0.0002453488372093023,0.008351012987012987,0.001244573002754821,0.00031457894736842105,0.0008862048192771084,0.007080651041666667,0.012777565445026179,0.0309366607440323
Hashemite Kingdom of Jordan,4.0939849624060155e-05,0.00014010695187165775,0.01029161038961039,0.00020366391184573,0.002127036082474227,0.0027989948453608247,0.008315729166666666,0.013403219895287958,0.03732130109274151
Hellenic Republic,0.0014752319587628864,6.123324396782842e-05,0.01562355844155844,0.0006305785123966942,0.00385930412371134,0.0007129639175257732,0.008934557291666667,0.023186465968586385,0.054483893458176016
Hong Kong Special Administrative Region of the People's Republic of China,0.006913067010309278,0.00013179144385026738,0.0065812207792207795,0.0005620936639118457,0.0024275515463917526,0.00649889175257732,0.005435234375,0.011879869109947643,0.040429719681208884
Hungary,0.010903144329896907,4.093406593406594e-05,0.013593272727272728,0.0004060881542699725,0.0018584020618556702,0.0008984278350515464,0.007647421875,0.01715450261780105,0.05250219366708194
Iceland,0.0001336723163841808,0.00029862068965517236,0.006093610389610389,0.0007107062146892655,0.00045292397660818716,0.0005504395604395604,0.0033698958333333337,0.01563259162303665,0.027242460603756742
Independent State of Papua New Guinea,7.943089430894308e-05,0.00042412650602409636,0.006403012987012987,0.00020074074074074072,0.0010744117647058823,0.002539742268041237,0.007624166666666667,0.006930628272251309,0.025276260099751865
Independent State of Samoa,0.00010942857142857144,0.000416,0.005916857142857143,0.000384,0.002493215258855586,0.005564631578947369,0.006694140625,0.01093916230366492,0.03251743548075359
Independent and Sovereign Republic of Kiribati,0.0004076923076923077,,,,,,,,0.0004076923076923077
Islamic Republic of Afghanistan,0.0004204195804195804,0.0008492493297587131,0.029797766233766232,0.00042344352617079895,0.0007001554404145078,0.004737396907216494,0.02533390625,0.011721570680628273,0.0739839079483746
Islamic Republic of Iran,0.00231930412371134,0.0005892780748663101,0.007604,3.900826446280992e-05,0.001065360824742268,0.008069639175257732,0.009670833333333333,0.002395890052356021,0.031753313848729814
Islamic Republic of Mauritania,4.759259259259259e-05,9.247474747474747e-05,0.023390337662337665,0.00041186111111111116,0.00033789325842696627,0.0013960309278350516,0.015970572916666665,0.012448612565445027,0.054095375781889825
Islamic Republic of Pakistan,0.004265567010309278,0.0006427272727272728,0.00944264935064935,7.286501377410469e-05,0.0022419329896907216,0.006385567010309278,0.009450937500000001,0.009298062827225131,0.04180030897468514
Isle of Man,3.185185185185186e-05,0.0006844444444444444,0.003722935064935065,0.0007428326180257511,0.0006455479452054794,0.0032094545454545457,0.0022001822916666667,0.01066002617801047,0.021897274939594275
Italian Republic,0.0066725,4.994652406417113e-05,0.009278233766233766,0.0005958402203856749,0.001456520618556701,0.0011435567010309278,0.0063178125,0.012554293193717278,0.038068703523988515
Jamaica,0.0001532,0.00020965116279069769,0.006153558441558442,0.00019377622377622378,0.0004360956175298805,0.0005539147286821706,0.006291458333333333,0.014554476439790576,0.028546130947461324
Japan,0.011891572164948454,3.0855614973262034e-05,0.004178493506493506,0.0009852617079889809,0.0009922938144329898,0.0002610567010309278,0.002916145833333333,0.015671884816753925,0.03692756415995538
Kingdom of Bahrain,7.762762762762764e-05,8.988235294117647e-05,0.011812883116883116,0.0003253168044077135,0.002390876288659794,0.0014640721649484536,0.009135911458333333,0.017521858638743455,0.042818428452544674
Kingdom of Belgium,0.0019166237113402063,4.271505376344086e-05,0.006907558441558441,0.0007921763085399449,0.0006130154639175258,0.0007590979381443299,0.0057388281250000004,0.013299973821989528,0.030069988864253418
Kingdom of Bhutan,7.303370786516854e-05,,,,,,,,7.303370786516854e-05
Kingdom of Cambodia,0.0007048969072164948,7.131868131868132e-05,0.017113376623376624,0.0004722589531680441,0.0015258762886597938,0.0016476288659793812,0.012114505208333334,0.015261649214659686,0.04891151074271204
Kingdom of Denmark,0.0012897680412371135,2.921708185053381e-05,0.009322077922077922,0.0006720110192837465,0.00044672680412371135,0.0005218041237113402,0.0044893489583333335,0.012820575916230365,0.029591529866848064
Kingdom of Eswatini,0.00019079896907216493,0.00023547619047619046,0.01264805194805195,0.00044274760383386584,0.002188230563002681,0.0032444329896907215,0.009473880208333334,0.011659581151832462,0.04008319962429337
